Match Number,Round Number,Date,Location,Home Team,Away Team,Result
292,6,01/12/2024 02:00,PHX Arena,Phoenix Suns,Golden State Warriors,113 - 105
293,6,01/12/2024 02:30,Delta Center,Utah Jazz,Dallas Mavericks,94 - 106
294,6,01/12/2024 20:30,Barclays Center,Brooklyn Nets,Orlando Magic,92 - 100
295,6,01/12/2024 20:30,FedExForum,Memphis Grizzlies,Indiana Pacers,136 - 121
296,6,01/12/2024 23:00,Rocket Arena,Cleveland Cavaliers,Boston Celtics,115 - 111
297,6,01/12/2024 23:00,Madison Square Garden,New York Knicks,New Orleans Pelicans,118 - 85
298,6,01/12/2024 23:00,Scotiabank Arena,Toronto Raptors,Miami Heat,119 - 116
299,6,02/12/2024 00:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,119 - 116
300,6,02/12/2024 01:00,Delta Center,Utah Jazz,Los Angeles Lakers,104 - 105
301,6,02/12/2024 02:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,131 - 137
302,6,02/12/2024 02:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,125 - 127
303,6,02/12/2024 03:00,Intuit Dome,LA Clippers,Denver Nuggets,126 - 122
304,6,03/12/2024 00:30,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,124 - 112
305,6,03/12/2024 00:30,TD Garden,Boston Celtics,Miami Heat,108 - 89
306,6,03/12/2024 01:00,United Center,Chicago Bulls,Brooklyn Nets,128 - 102
307,6,03/12/2024 01:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,109 - 80
308,6,04/12/2024 00:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,104 - 110
309,6,04/12/2024 00:00,Rocket Arena,Cleveland Cavaliers,Washington Wizards,118 - 87
310,6,04/12/2024 00:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,107 - 128
311,6,04/12/2024 00:30,Madison Square Garden,New York Knicks,Orlando Magic,121 - 106
312,6,04/12/2024 00:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,122 - 111
313,6,04/12/2024 01:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,133 - 106
314,6,04/12/2024 01:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,121 - 116
315,6,04/12/2024 02:00,PHX Arena,Phoenix Suns,San Antonio Spurs,104 - 93
316,6,04/12/2024 03:00,Ball Arena,Denver Nuggets,Golden State Warriors,119 - 115
317,6,04/12/2024 03:00,Golden 1 Center,Sacramento Kings,Houston Rockets,120 - 111
318,6,04/12/2024 03:30,Intuit Dome,LA Clippers,Portland Trail Blazers,127 - 105
319,7,05/12/2024 00:30,TD Garden,Boston Celtics,Detroit Pistons,130 - 120
320,7,05/12/2024 00:30,Barclays Center,Brooklyn Nets,Indiana Pacers,99 - 90
321,7,05/12/2024 00:30,Kaseya Center,Miami Heat,Los Angeles Lakers,134 - 93
322,7,05/12/2024 00:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,102 - 106
323,7,05/12/2024 01:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,104 - 119
324,7,05/12/2024 03:30,Intuit Dome,LA Clippers,Minnesota Timberwolves,80 - 108
325,7,06/12/2024 00:00,Rocket Arena,Cleveland Cavaliers,Denver Nuggets,126 - 114
326,7,06/12/2024 00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,101 - 137
327,7,06/12/2024 00:30,Madison Square Garden,New York Knicks,Charlotte Hornets,125 - 101
328,7,06/12/2024 00:30,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,92 - 129
329,7,06/12/2024 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,115 - 110
330,7,06/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,126 - 124
331,7,06/12/2024 01:00,Frost Bank Center,San Antonio Spurs,Chicago Bulls,124 - 139
332,7,06/12/2024 03:00,Chase Center,Golden State Warriors,Houston Rockets,99 - 93
333,7,07/12/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,102 - 94
334,7,07/12/2024 00:30,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,134 - 132
335,7,07/12/2024 00:30,TD Garden,Boston Celtics,Milwaukee Bucks,111 - 105
336,7,07/12/2024 01:00,United Center,Chicago Bulls,Indiana Pacers,123 - 132
337,7,07/12/2024 01:00,Frost Bank Center,San Antonio Spurs,Sacramento Kings,113 - 140
338,7,07/12/2024 03:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,90 - 107
339,7,07/12/2024 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,99 - 141
340,7,07/12/2024 18:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,102 - 116
341,7,08/12/2024 00:00,Capital One Arena,Washington Wizards,Denver Nuggets,122 - 113
342,7,08/12/2024 00:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,109 - 119
343,7,08/12/2024 00:30,Madison Square Garden,New York Knicks,Detroit Pistons,111 - 120
344,7,08/12/2024 00:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,118 - 125
345,7,08/12/2024 01:00,TD Garden,Boston Celtics,Memphis Grizzlies,121 - 127
346,7,08/12/2024 01:00,Kaseya Center,Miami Heat,Phoenix Suns,121 - 111
347,7,08/12/2024 18:00,United Center,Chicago Bulls,Philadelphia 76ers,100 - 108
348,7,08/12/2024 20:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,113 - 118
349,7,08/12/2024 22:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,109 - 113
350,7,08/12/2024 23:00,State Farm Arena,Atlanta Hawks,Denver Nuggets,111 - 141
351,7,08/12/2024 23:00,Kaseya Center,Miami Heat,Cleveland Cavaliers,122 - 113
352,7,08/12/2024 23:30,Kia Center,Orlando Magic,Phoenix Suns,115 - 110
353,7,09/12/2024 00:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,112 - 140
354,7,09/12/2024 00:00,Frost Bank Center,San Antonio Spurs,New Orleans Pelicans,121 - 116
355,7,09/12/2024 01:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,114 - 106
356,7,09/12/2024 02:00,Intuit Dome,LA Clippers,Houston Rockets,106 - 117
357,7,09/12/2024 02:00,Golden 1 Center,Sacramento Kings,Utah Jazz,141 - 97
358,7,09/12/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,107 - 98
359,7,10/12/2024 00:30,Scotiabank Arena,Toronto Raptors,New York Knicks,108 - 113
1201,8,11/12/2024 00:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,114 - 109
1202,8,11/12/2024 02:30,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,118 - 104
1203,8,12/12/2024 00:00,Madison Square Garden,New York Knicks,Atlanta Hawks,100 - 108
1204,8,12/12/2024 02:30,Toyota Center,Houston Rockets,Golden State Warriors,91 - 90
1205,8,13/12/2024 00:30,TD Garden,Boston Celtics,Detroit Pistons,123 - 99
1206,8,13/12/2024 00:30,Kaseya Center,Miami Heat,Toronto Raptors,114 - 104
1207,8,13/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,109 - 111
1208,8,14/12/2024 00:00,Rocket Arena,Cleveland Cavaliers,Washington Wizards,115 - 105
1209,8,14/12/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,107 - 121
1210,8,14/12/2024 01:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,97 - 87
1211,8,14/12/2024 01:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,135 - 119
1212,8,14/12/2024 01:00,United Center,Chicago Bulls,Charlotte Hornets,109 - 95
1213,8,14/12/2024 02:00,Ball Arena,Denver Nuggets,LA Clippers,120 - 98
1214,8,14/12/2024 02:30,Delta Center,Utah Jazz,Phoenix Suns,126 - 134
1215,8,14/12/2024 03:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,116 - 118
1227,8,14/12/2024 21:30,T-Mobile Arena,Milwaukee Bucks,Atlanta Hawks,110 - 102
1228,8,15/12/2024 01:30,T-Mobile Arena,Oklahoma City Thunder,Houston Rockets,111 - 96
1216,8,15/12/2024 22:00,Gainbridge Fieldhouse,Indiana Pacers,New Orleans Pelicans,119 - 104
1217,8,15/12/2024 23:00,Capital One Arena,Washington Wizards,Boston Celtics,98 - 112
1229,8,15/12/2024 23:00,Kia Center,Orlando Magic,New York Knicks,91 - 100
1218,8,16/12/2024 00:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,92 - 106
1219,8,16/12/2024 01:00,PHX Arena,Phoenix Suns,Portland Trail Blazers,116 - 109
1230,8,16/12/2024 01:30,Chase Center,Golden State Warriors,Dallas Mavericks,133 - 143
1220,8,16/12/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,116 - 110
1221,8,17/12/2024 00:00,Little Caesars Arena,Detroit Pistons,Miami Heat,125 - 124
1222,8,17/12/2024 00:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,108 - 121
1223,8,17/12/2024 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,121 - 122
1224,8,17/12/2024 00:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,101 - 130
1225,8,17/12/2024 03:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,129 - 130
1226,8,17/12/2024 03:30,Intuit Dome,LA Clippers,Utah Jazz,144 - 107
1231,8,18/12/2024 01:30,T-Mobile Arena,Oklahoma City Thunder,Milwaukee Bucks,81 - 97
360,8,20/12/2024 00:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,119 - 126
361,8,20/12/2024 00:00,Kia Center,Orlando Magic,Oklahoma City Thunder,99 - 105
362,8,20/12/2024 00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,123 - 114
363,8,20/12/2024 00:30,TD Garden,Boston Celtics,Chicago Bulls,108 - 117
364,8,20/12/2024 00:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,94 - 101
365,8,20/12/2024 01:00,Toyota Center,Houston Rockets,New Orleans Pelicans,133 - 113
366,8,20/12/2024 01:00,FedExForum,Memphis Grizzlies,Golden State Warriors,144 - 93
370,8,20/12/2024 01:00,Frost Bank Center,San Antonio Spurs,Atlanta Hawks,133 - 126
368,8,20/12/2024 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,95 - 118
369,8,20/12/2024 02:00,PHX Arena,Phoenix Suns,Indiana Pacers,111 - 120
367,8,20/12/2024 02:30,Target Center,Minnesota Timberwolves,New York Knicks,107 - 133
371,8,20/12/2024 03:00,Moda Center,Portland Trail Blazers,Denver Nuggets,126 - 124
372,8,20/12/2024 03:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,100 - 113
373,8,21/12/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,108 - 98
374,8,21/12/2024 00:30,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,124 - 101
375,8,21/12/2024 01:00,Kaseya Center,Miami Heat,Oklahoma City Thunder,97 - 104
376,8,21/12/2024 23:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,99 - 103
377,8,22/12/2024 00:00,Kia Center,Orlando Magic,Miami Heat,121 - 114
378,8,22/12/2024 00:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,112 - 128
379,8,22/12/2024 00:30,Barclays Center,Brooklyn Nets,Utah Jazz,94 - 105
380,8,22/12/2024 01:00,Rocket Arena,Cleveland Cavaliers,Philadelphia 76ers,126 - 99
381,8,22/12/2024 01:00,United Center,Chicago Bulls,Boston Celtics,98 - 123
382,8,22/12/2024 01:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,112 - 101
383,8,22/12/2024 01:00,Target Center,Minnesota Timberwolves,Golden State Warriors,103 - 113
384,8,22/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,93 - 104
385,8,22/12/2024 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,113 - 97
386,8,22/12/2024 01:30,Frost Bank Center,San Antonio Spurs,Portland Trail Blazers,114 - 94
387,8,22/12/2024 02:00,PHX Arena,Phoenix Suns,Detroit Pistons,125 - 133
388,8,22/12/2024 23:00,Scotiabank Arena,Toronto Raptors,Houston Rockets,110 - 114
389,8,22/12/2024 23:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,95 - 122
390,8,23/12/2024 00:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,129 - 132
391,8,24/12/2024 00:00,Spectrum Center,Charlotte Hornets,Houston Rockets,101 - 114
392,8,24/12/2024 00:00,Rocket Arena,Cleveland Cavaliers,Utah Jazz,124 - 113
393,8,24/12/2024 00:00,Kia Center,Orlando Magic,Boston Celtics,108 - 104
394,8,24/12/2024 00:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,111 - 106
395,8,24/12/2024 00:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,117 - 104
396,8,24/12/2024 00:30,Kaseya Center,Miami Heat,Brooklyn Nets,110 - 95
397,8,24/12/2024 00:30,Madison Square Garden,New York Knicks,Toronto Raptors,139 - 125
398,8,24/12/2024 01:00,United Center,Chicago Bulls,Milwaukee Bucks,91 - 112
399,8,24/12/2024 01:00,FedExForum,Memphis Grizzlies,LA Clippers,110 - 114
400,8,24/12/2024 01:00,Paycom Center,Oklahoma City Thunder,Washington Wizards,123 - 105
401,8,24/12/2024 01:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,132 - 108
402,8,24/12/2024 03:00,Ball Arena,Denver Nuggets,Phoenix Suns,117 - 90
403,8,24/12/2024 03:00,Chase Center,Golden State Warriors,Indiana Pacers,105 - 111
404,8,24/12/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Detroit Pistons,114 - 117
405,9,25/12/2024 17:00,Madison Square Garden,New York Knicks,San Antonio Spurs,117 - 114
406,9,25/12/2024 19:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,99 - 105
407,9,25/12/2024 22:00,TD Garden,Boston Celtics,Philadelphia 76ers,114 - 118
408,9,26/12/2024 01:00,Chase Center,Golden State Warriors,Los Angeles Lakers,113 - 115
409,9,26/12/2024 03:30,PHX Arena,Phoenix Suns,Denver Nuggets,110 - 100
410,9,27/12/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Oklahoma City Thunder,114 - 120
411,9,27/12/2024 00:00,Kia Center,Orlando Magic,Miami Heat,88 - 89
412,9,27/12/2024 00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,113 - 110
413,9,27/12/2024 00:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,141 - 133
414,9,27/12/2024 01:00,FedExForum,Memphis Grizzlies,Toronto Raptors,155 - 126
415,9,27/12/2024 01:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,105 - 111
416,9,27/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,111 - 128
417,9,27/12/2024 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,122 - 120
418,9,27/12/2024 03:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,113 - 114
419,9,28/12/2024 00:00,Kia Center,Orlando Magic,New York Knicks,85 - 108
420,9,28/12/2024 00:30,TD Garden,Boston Celtics,Indiana Pacers,142 - 105
421,9,28/12/2024 00:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,87 - 95
422,9,28/12/2024 01:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,112 - 113
423,9,28/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,124 - 132
424,9,28/12/2024 02:00,Ball Arena,Denver Nuggets,Cleveland Cavaliers,135 - 149
425,9,28/12/2024 02:00,PHX Arena,Phoenix Suns,Dallas Mavericks,89 - 98
426,9,28/12/2024 03:00,Intuit Dome,LA Clippers,Golden State Warriors,102 - 92
427,9,28/12/2024 20:00,State Farm Arena,Atlanta Hawks,Miami Heat,120 - 110
428,9,28/12/2024 23:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,94 - 106
429,9,29/12/2024 00:00,Capital One Arena,Washington Wizards,New York Knicks,132 - 136
430,9,29/12/2024 01:00,United Center,Chicago Bulls,Milwaukee Bucks,116 - 111
431,9,29/12/2024 01:30,Chase Center,Golden State Warriors,Phoenix Suns,109 - 105
432,9,29/12/2024 02:00,Ball Arena,Denver Nuggets,Detroit Pistons,134 - 121
433,9,29/12/2024 02:30,Delta Center,Utah Jazz,Philadelphia 76ers,111 - 114
434,9,29/12/2024 03:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,126 - 122
435,9,29/12/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,132 - 122
436,9,29/12/2024 20:30,Kia Center,Orlando Magic,Brooklyn Nets,102 - 101
437,9,29/12/2024 23:00,TD Garden,Boston Celtics,Indiana Pacers,114 - 123
438,9,29/12/2024 23:00,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,107 - 136
439,9,30/12/2024 00:00,Toyota Center,Houston Rockets,Miami Heat,100 - 104
440,9,30/12/2024 00:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,130 - 106
441,9,30/12/2024 02:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,112 - 110
442,9,31/12/2024 00:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,108 - 115
443,9,31/12/2024 00:00,Capital One Arena,Washington Wizards,New York Knicks,106 - 126
444,9,31/12/2024 01:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,113 - 116
445,9,31/12/2024 02:00,Delta Center,Utah Jazz,Denver Nuggets,121 - 132
446,9,31/12/2024 03:00,Chase Center,Golden State Warriors,Cleveland Cavaliers,95 - 113
447,9,31/12/2024 03:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,103 - 125
448,9,31/12/2024 03:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,110 - 100
449,9,31/12/2024 20:00,TD Garden,Boston Celtics,Toronto Raptors,125 - 71
450,9,31/12/2024 20:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,112 - 120
451,9,01/01/2025 00:00,Frost Bank Center,San Antonio Spurs,LA Clippers,122 - 86
452,9,01/01/2025 01:00,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,113 - 105
453,9,01/01/2025 02:00,PHX Arena,Phoenix Suns,Memphis Grizzlies,112 - 117
454,9,01/01/2025 02:00,Crypto.com Arena,Los Angeles Lakers,Cleveland Cavaliers,110 - 122
455,10,02/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,105 - 96
456,10,02/01/2025 00:00,Capital One Arena,Washington Wizards,Chicago Bulls,125 - 107
457,10,02/01/2025 00:30,Kaseya Center,Miami Heat,New Orleans Pelicans,119 - 108
458,10,02/01/2025 00:30,Madison Square Garden,New York Knicks,Utah Jazz,119 - 103
459,10,02/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,130 - 113
460,10,02/01/2025 01:00,Toyota Center,Houston Rockets,Dallas Mavericks,110 - 99
461,10,02/01/2025 02:00,Ball Arena,Denver Nuggets,Atlanta Hawks,139 - 120
462,10,02/01/2025 03:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,113 - 107
463,10,03/01/2025 00:30,Kaseya Center,Miami Heat,Indiana Pacers,115 - 128
464,10,03/01/2025 00:30,Target Center,Minnesota Timberwolves,Boston Celtics,115 - 118
465,10,03/01/2025 01:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,110 - 113
466,10,03/01/2025 01:00,Paycom Center,Oklahoma City Thunder,LA Clippers,116 - 98
467,10,03/01/2025 03:00,Chase Center,Golden State Warriors,Philadelphia 76ers,139 - 105
468,10,03/01/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,114 - 106
469,10,04/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,98 - 94
470,10,04/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,97 - 106
471,10,04/01/2025 01:00,Toyota Center,Houston Rockets,Boston Celtics,86 - 109
472,10,04/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,132 - 120
473,10,04/01/2025 01:00,Paycom Center,Oklahoma City Thunder,New York Knicks,117 - 107
474,10,04/01/2025 01:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,122 - 134
475,10,04/01/2025 02:00,Ball Arena,Denver Nuggets,San Antonio Spurs,110 - 113
476,10,04/01/2025 03:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,138 - 133
477,10,04/01/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Atlanta Hawks,119 - 102
478,10,04/01/2025 23:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,94 - 123
479,10,05/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,119 - 105
480,10,05/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Phoenix Suns,126 - 108
481,10,05/01/2025 01:00,Kaseya Center,Miami Heat,Utah Jazz,100 - 136
482,10,05/01/2025 01:00,United Center,Chicago Bulls,New York Knicks,139 - 126
483,10,05/01/2025 01:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,102 - 105
484,10,05/01/2025 01:00,Frost Bank Center,San Antonio Spurs,Denver Nuggets,111 - 122
485,10,05/01/2025 01:30,Chase Center,Golden State Warriors,Memphis Grizzlies,121 - 113
486,10,05/01/2025 03:30,Intuit Dome,LA Clippers,Atlanta Hawks,131 - 105
487,10,05/01/2025 20:30,Paycom Center,Oklahoma City Thunder,Boston Celtics,105 - 92
488,10,05/01/2025 23:00,Rocket Arena,Cleveland Cavaliers,Charlotte Hornets,115 - 105
489,10,05/01/2025 23:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,98 - 110
490,10,05/01/2025 23:30,Kia Center,Orlando Magic,Utah Jazz,92 - 105
491,10,06/01/2025 00:00,Toyota Center,Houston Rockets,Los Angeles Lakers,119 - 115
492,10,06/01/2025 01:30,Chase Center,Golden State Warriors,Sacramento Kings,99 - 129
493,10,07/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,118 - 115
494,10,07/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,99 - 109
495,10,07/01/2025 00:30,Barclays Center,Brooklyn Nets,Indiana Pacers,99 - 113
496,10,07/01/2025 00:30,Madison Square Garden,New York Knicks,Orlando Magic,94 - 103
497,10,07/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,104 - 128
498,10,07/01/2025 01:00,United Center,Chicago Bulls,San Antonio Spurs,114 - 110
499,10,07/01/2025 01:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,119 - 104
500,10,07/01/2025 01:00,Target Center,Minnesota Timberwolves,LA Clippers,108 - 106
501,10,07/01/2025 03:00,Golden 1 Center,Sacramento Kings,Miami Heat,123 - 118
502,10,08/01/2025 00:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,115 - 104
503,10,08/01/2025 00:00,Capital One Arena,Washington Wizards,Houston Rockets,112 - 135
504,10,08/01/2025 00:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,118 - 97
505,10,08/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,97 - 104
506,10,08/01/2025 02:00,Delta Center,Utah Jazz,Atlanta Hawks,121 - 124
507,10,08/01/2025 03:00,Ball Arena,Denver Nuggets,Boston Celtics,106 - 118
508,10,08/01/2025 03:00,Chase Center,Golden State Warriors,Miami Heat,98 - 114
509,11,09/01/2025 00:00,Rocket Arena,Cleveland Cavaliers,Oklahoma City Thunder,129 - 122
510,11,09/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,129 - 113
512,11,09/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,109 - 103
511,11,09/01/2025 00:30,Madison Square Garden,New York Knicks,Toronto Raptors,112 - 98
513,11,09/01/2025 00:30,Barclays Center,Brooklyn Nets,Detroit Pistons,98 - 113
514,11,09/01/2025 01:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,100 - 119
515,11,09/01/2025 02:00,Ball Arena,Denver Nuggets,LA Clippers,126 - 103
516,11,09/01/2025 02:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,121 - 105
517,11,10/01/2025 00:00,Rocket Arena,Cleveland Cavaliers,Toronto Raptors,132 - 126
518,11,10/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,104 - 107
519,11,10/01/2025 00:00,Kia Center,Orlando Magic,Minnesota Timberwolves,89 - 104
521,11,10/01/2025 00:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,117 - 111
520,11,10/01/2025 01:00,FedExForum,Memphis Grizzlies,Houston Rockets,115 - 119
522,11,10/01/2025 02:00,PHX Arena,Phoenix Suns,Atlanta Hawks,123 - 115
523,11,10/01/2025 02:00,Delta Center,Utah Jazz,Miami Heat,92 - 97
525,11,11/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Golden State Warriors,108 - 96
526,11,11/01/2025 00:00,Kia Center,Orlando Magic,Milwaukee Bucks,106 - 109
527,11,11/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,115 - 123
528,11,11/01/2025 00:30,TD Garden,Boston Celtics,Sacramento Kings,97 - 114
529,11,11/01/2025 00:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,101 - 126
530,11,11/01/2025 01:00,United Center,Chicago Bulls,Washington Wizards,138 - 105
531,11,11/01/2025 02:00,Ball Arena,Denver Nuggets,Brooklyn Nets,124 - 105
533,11,11/01/2025 22:00,PHX Arena,Phoenix Suns,Utah Jazz,114 - 106
534,11,12/01/2025 00:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,123 - 114
535,11,12/01/2025 01:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,125 - 127
536,11,12/01/2025 03:00,Moda Center,Portland Trail Blazers,Miami Heat,98 - 119
539,11,12/01/2025 20:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,140 - 106
540,11,12/01/2025 20:00,American Airlines Center,Dallas Mavericks,Denver Nuggets,101 - 112
541,11,12/01/2025 20:30,United Center,Chicago Bulls,Sacramento Kings,119 - 124
542,11,12/01/2025 23:00,TD Garden,Boston Celtics,New Orleans Pelicans,120 - 119
543,11,12/01/2025 23:00,Rocket Arena,Cleveland Cavaliers,Indiana Pacers,93 - 108
544,11,12/01/2025 23:00,Kia Center,Orlando Magic,Philadelphia 76ers,104 - 99
545,11,12/01/2025 23:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,95 - 136
546,11,13/01/2025 01:00,Delta Center,Utah Jazz,Brooklyn Nets,112 - 111
547,11,13/01/2025 02:00,PHX Arena,Phoenix Suns,Charlotte Hornets,120 - 113
548,11,14/01/2025 00:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,106 - 120
549,11,14/01/2025 00:30,Madison Square Garden,New York Knicks,Detroit Pistons,119 - 124
550,11,14/01/2025 00:30,Scotiabank Arena,Toronto Raptors,Golden State Warriors,104 - 101
551,11,14/01/2025 01:00,Toyota Center,Houston Rockets,Memphis Grizzlies,120 - 118
552,11,14/01/2025 03:30,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,102 - 126
553,11,14/01/2025 03:30,Intuit Dome,LA Clippers,Miami Heat,109 - 98
554,11,15/01/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,117 - 127
555,11,15/01/2025 00:00,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,102 - 118
