Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1070,21,29/03/2025 00:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,107 - 116
1071,21,29/03/2025 00:00,Target Center,Minnesota Timberwolves,Phoenix Suns,124 - 109
1072,21,29/03/2025 00:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,95 - 111
1073,21,29/03/2025 01:00,Ball Arena,Denver Nuggets,Utah Jazz,129 - 93
1074,21,29/03/2025 21:00,Kia Center,Orlando Magic,Sacramento Kings,121 - 91
1075,21,29/03/2025 23:00,Capital One Arena,Washington Wizards,Brooklyn Nets,112 - 115
1076,21,29/03/2025 23:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,95 - 118
1077,21,30/03/2025 00:00,United Center,Chicago Bulls,Dallas Mavericks,119 - 120
1078,21,30/03/2025 00:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,127 - 134
1079,21,30/03/2025 00:00,Paycom Center,Oklahoma City Thunder,Indiana Pacers,132 - 111
1080,21,30/03/2025 00:00,Frost Bank Center,San Antonio Spurs,Boston Celtics,111 - 121
1081,21,30/03/2025 19:30,Rocket Arena,Cleveland Cavaliers,LA Clippers,127 - 122
1082,21,30/03/2025 22:00,Madison Square Garden,New York Knicks,Portland Trail Blazers,110 - 93
1083,21,30/03/2025 23:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,124 - 145
1084,21,30/03/2025 23:00,Target Center,Minnesota Timberwolves,Detroit Pistons,123 - 104
1085,21,30/03/2025 23:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,98 - 94
1086,21,30/03/2025 23:00,Frost Bank Center,San Antonio Spurs,Golden State Warriors,106 - 148
1087,21,30/03/2025 23:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,109 - 127
1088,21,31/03/2025 01:00,PHX Arena,Phoenix Suns,Houston Rockets,109 - 148
1089,21,31/03/2025 23:00,Spectrum Center,Charlotte Hornets,Utah Jazz,110 - 106
1090,21,31/03/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,111 - 109
1091,21,31/03/2025 23:00,Kia Center,Orlando Magic,LA Clippers,87 - 96
1092,21,31/03/2025 23:00,Capital One Arena,Washington Wizards,Miami Heat,94 - 120
1093,21,31/03/2025 23:30,FedExForum,Memphis Grizzlies,Boston Celtics,103 - 117
1094,21,01/04/2025 00:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,145 - 117
1095,21,01/04/2025 00:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,109 - 113
1096,21,01/04/2025 02:00,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,104 - 98
1097,21,01/04/2025 23:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,113 - 127
1098,21,01/04/2025 23:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,105 - 91
1101,21,01/04/2025 23:30,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,133 - 123
988,21,02/04/2025 00:00,Frost Bank Center,San Antonio Spurs,Orlando Magic,105 - 116
1099,21,02/04/2025 00:00,United Center,Chicago Bulls,Toronto Raptors,137 - 118
1100,21,02/04/2025 00:00,FedExForum,Memphis Grizzlies,Golden State Warriors,125 - 134
1102,21,02/04/2025 02:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,139 - 140
1103,22,02/04/2025 23:00,Rocket Arena,Cleveland Cavaliers,New York Knicks,124 - 105
1104,22,02/04/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,119 - 105
1105,22,02/04/2025 23:00,Capital One Arena,Washington Wizards,Sacramento Kings,116 - 111
1106,22,02/04/2025 23:30,TD Garden,Boston Celtics,Miami Heat,103 - 124
1107,22,03/04/2025 00:00,Toyota Center,Houston Rockets,Utah Jazz,143 - 105
