NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Mo Bamba,Lac,Yes,C,26.8,28,12.6,16.3,15.5,25,0.68,53,0.623,50,0.3,0.539,0.561,4.6,4.3,0.6,0.3,1,0.7,8.9,5.1,9.4,7.2,108.8,96.2
Zach Collins,San,No,F,27.3,36,11.8,17.1,14.8,35,0.886,86,0.547,46,0.304,0.515,0.566,4.6,2.8,1.4,0.4,0.4,0.6,7.4,6.1,8.9,8.9,118.7,101.1
Trentyn Flowers,Lac,Yes,F,20,2,7.9,28.5,9.6,1,1,7,0.571,2,0,0.444,0.477,4.5,2,0,0,0,0.5,6.5,4.5,6.5,0,91.4,94.6
Jordan Miller,Lac,Yes,G,25.1,32,12.1,18.5,15.2,33,0.788,91,0.516,37,0.216,0.461,0.505,4.5,1.8,1,0.5,0.2,0.7,6.3,5.5,7.3,6.6,103.3,109.8
David Roddy,Atl,No,F,23.9,27,12.8,14.5,17.6,22,0.818,50,0.56,43,0.372,0.559,0.594,4.5,2.6,1.1,0.4,0.3,0.7,7.1,5.6,8.2,7.3,110.6,113.3
Trevelin Queen,Orl,Yes,G,28,26,14.3,17.6,13.9,15,0.867,59,0.475,65,0.246,0.419,0.448,4.5,1.6,1.3,1,0.4,0.8,6.1,5.8,7.4,5.9,95.5,103.6
Julian Phillips,Chi,Yes,F,21.3,60,13.5,13.4,9.5,61,0.738,95,0.568,114,0.325,0.524,0.56,4.4,2,0.4,0.4,0.3,0.4,6.4,4.8,6.8,4.5,114.4,112.2
Jett Howard,Orl,Yes,G,21.5,51,11.6,18.4,10.8,20,0.75,58,0.517,157,0.312,0.481,0.496,4.4,1.2,0.8,0.2,0.2,0.5,5.6,5.1,6.4,5.6,100.5,107
Tre Jones,San,No,G,25.2,28,16.1,12.1,18.4,33,0.758,67,0.552,26,0.308,0.527,0.572,4.4,2.1,3.7,0.6,0.2,0.8,6.5,8.1,10.2,8.1,127.6,112.5
Kyle Anderson,Mia,Yes,F,31.5,9,13.7,14.8,11.7,16,0.75,25,0.44,5,0.4,0.467,0.54,4.4,3.1,1.7,0.3,0.4,0.4,7.6,6.1,9.2,8.3,123.9,105
Reggie Jackson,Phi,Yes,G,34.9,31,12.4,17.6,11.3,9,0.778,59,0.458,74,0.338,0.485,0.496,4.4,1.4,1.5,0.5,0.1,0.5,5.7,5.8,7.2,6.8,103.9,111.9
Patty Mills,Uta,No,G,36.6,17,15.3,15,16.4,5,1,19,0.474,57,0.298,0.454,0.473,4.4,1.2,1.2,0.7,0.2,0.9,5.6,5.6,6.8,4.8,93.6,119.1
Cody Williams,Uta,Yes,F,20.3,36,20.2,12.3,16.1,34,0.735,86,0.372,81,0.272,0.389,0.426,4.3,2.2,1.3,0.5,0.3,0.9,6.5,5.6,7.8,4.6,91.6,115.4
Micah Potter,Uta,Yes,C,26.9,27,17.4,10,17.7,12,0.917,20,0.65,68,0.382,0.591,0.616,4.3,4.1,0.8,0.3,0.4,0.7,8.3,5.1,9.1,5.6,118.2,114.9
Paul Reed,Det,Yes,F,25.7,36,9.3,18.1,13.9,34,0.794,90,0.6,21,0.286,0.568,0.607,4.3,2.6,1,0.9,0.5,0.5,6.8,5.2,7.8,9.6,123.9,92.8
Jarred Vanderbilt,Lal,Yes,F,25.9,16,15.8,12.2,16.1,18,0.5,32,0.594,20,0.35,0.567,0.567,4.3,5.4,1.1,0.9,0.3,0.6,9.7,5.4,10.8,7.5,122.9,100.3
Daniel Theis,Nor,Yes,F,32.9,38,16.4,11.5,16.2,37,0.838,92,0.565,37,0.243,0.508,0.558,4.3,4.3,1.6,0.5,0.5,0.7,8.6,5.8,10.2,7.5,118.3,109.4
Pat Connaughton,Mil,Yes,G,32.2,31,14.8,13.5,14,17,0.765,54,0.556,62,0.323,0.517,0.539,4.3,2.6,1.6,0.2,0.3,0.6,6.9,5.9,8.6,7.1,112.3,109.3
Antonio Reeves,Nor,Yes,G,22.3,28,10.2,18,8.4,9,0.889,50,0.52,58,0.328,0.505,0.523,4.2,1.1,0.7,0.4,0.1,0.4,5.3,4.9,6,5.8,107.5,120.2
Jabari Walker,Por,Yes,F,22.6,45,11.1,15.8,13.6,47,0.681,100,0.61,46,0.261,0.541,0.57,4.2,3.3,0.6,0.6,0.1,0.5,7.5,4.9,8.1,7.3,115.2,102.1
Mason Plumlee,Pho,Yes,F,35,61,17.9,10.4,22.5,98,0.653,162,0.599,3,0,0.588,0.62,4.2,6.3,1.9,0.4,0.7,0.8,10.5,6.2,12.4,8.2,129.9,104.3
Dalen Terry,Chi,Yes,F,22.6,55,12.7,14.4,17.1,56,0.679,114,0.535,65,0.323,0.517,0.548,4.1,1.5,1.2,0.5,0.2,0.7,5.5,5.3,6.7,6.1,108.2,110.4
Kris Murray,Por,Yes,F,24.5,52,13.7,13.8,11.6,42,0.405,113,0.593,78,0.269,0.516,0.511,4.1,2.3,0.9,0.4,0.2,0.5,6.4,5,7.2,6,108.9,114.4
Jock Landale,Hou,Yes,C,29.4,31,10.9,16.6,12.4,34,0.676,90,0.478,16,0.375,0.491,0.525,4.1,3.2,0.8,0.2,0.3,0.5,7.3,4.9,8.1,8,115.2,104.4
Thomas Bryant,Mia,No,C,27.6,10,11.5,13.5,6.6,11,1,11,0.545,17,0.353,0.536,0.624,4.1,3.2,0.4,0.1,0.9,0.2,7.3,4.5,7.7,6,131.2,106.5
Pelle Larsson,Mia,Yes,G,24,38,12.7,13.6,10.7,38,0.658,60,0.583,57,0.333,0.543,0.568,4,1.5,0.9,0.4,0.1,0.4,5.5,4.9,6.4,5.5,116.2,102.7
MarJon Beauchamp,Lac,Yes,F,24.4,3,5.7,24.5,12.2,4,0.5,4,0.5,3,0.667,0.714,0.685,4,1,0.7,0,0,0.3,5,4.7,5.7,9.9,132.6,106.8
Gui Santos,Gol,Yes,F,22.7,37,13.1,13.1,18.4,25,0.72,46,0.609,69,0.362,0.57,0.591,4,2.9,1.4,0.5,0.2,0.7,6.9,5.4,8.3,7.7,119.3,103.5
Kevin Knox II,Gol,Yes,F,25.6,7,7.3,22,3.9,4,0.75,13,0.615,11,0.273,0.521,0.543,4,1.6,0.6,0.1,0.6,0.1,5.6,4.6,6.1,8.6,120.7,107.5
Josh Richardson,Mia,Yes,G,31.5,8,18.7,14.2,17.2,4,1,16,0.313,22,0.273,0.368,0.402,4,1.5,1.5,1,0.1,1,5.5,5.5,7,4.4,87.2,105.6
Kyle Lowry,Phi,Yes,G,38.9,33,18.9,10.3,15.2,33,0.818,28,0.393,83,0.337,0.477,0.53,4,2,2.8,0.9,0.3,0.6,6,6.8,8.8,6,119.6,110.4
Reed Sheppard,Hou,Yes,G,20.7,44,11.9,17.7,12.4,16,0.813,81,0.407,110,0.282,0.416,0.434,3.9,1.4,1.2,0.6,0.3,0.6,5.3,5.1,6.4,6.3,96.1,106.6
Dariq Whitehead,Bro,Yes,G,20.6,10,5.9,25.6,18.1,3,0.333,4,0.25,23,0.522,0.704,0.689,3.9,0.6,0.1,0.3,0.1,0.6,4.5,4,4.6,4.2,101,116.3
Malaki Branham,San,Yes,F,21.8,36,8.4,21.9,19,20,0.85,62,0.468,57,0.386,0.521,0.552,3.9,1.1,0.7,0.2,0.1,0.8,5,4.6,5.7,6.9,95.8,115
Devin Carter,Sac,Yes,G,23,18,9.3,21.1,10.8,20,0.75,33,0.394,33,0.273,0.402,0.455,3.8,2.3,1.2,0.3,0.2,0.4,6.1,4.9,7.2,9.4,102,107.7
Olivier-Maxence Prosper,Dal,Yes,F,22.7,51,11,16.3,7.7,72,0.653,117,0.479,50,0.22,0.434,0.483,3.8,2.4,0.7,0.5,0.1,0.3,6.2,4.5,6.9,6.7,111.5,112.3
Ousmane Dieng,Okc,Yes,F,21.8,31,11.3,16,12,16,0.688,47,0.574,63,0.286,0.491,0.508,3.8,2.3,0.9,0.5,0.2,0.5,6.2,4.8,7.1,7,106.4,102.9
Brandon Williams,Dal,Yes,G,25.3,20,8.6,19.3,18.7,19,0.789,33,0.455,23,0.435,0.536,0.583,3.8,0.8,1.2,0.3,0.1,0.7,4.6,4.9,5.7,7.2,110.4,113.1
Shake Milton,Lal,Yes,G,28.4,19,11.2,15.1,19.6,17,0.882,29,0.586,24,0.333,0.547,0.604,3.8,1.8,1.4,0.3,0.1,0.7,5.7,5.2,7.1,7.6,116.9,110.4
Isaac Jones,Sac,Yes,F,24.6,26,8.7,15.9,16.4,26,0.538,57,0.702,4,0.25,0.68,0.67,3.7,1.5,0.3,0.1,0.3,0.5,5.2,4,5.5,5.4,119.7,108
Andre Jackson Jr.,Mil,Yes,G,23.3,54,16.5,11.4,22.5,18,0.556,105,0.524,70,0.386,0.546,0.549,3.7,3,1.4,0.6,0.2,0.9,6.8,5.1,8.1,6,107.5,103.7
Collin Gillespie,Pho,Yes,G,25.7,13,6.4,20.1,8.5,7,0.857,20,0.6,12,0.5,0.656,0.684,3.7,1,1.2,0.2,0.2,0.2,4.7,4.8,5.8,10.3,141.3,110.9
Jeff Dowtin Jr.,Phi,Yes,G,27.8,29,11.3,15.7,4.7,25,0.68,73,0.452,28,0.286,0.446,0.478,3.7,1.2,1.6,0.3,0.1,0.2,4.9,5.3,6.5,6.8,113.3,116.7
Jevon Carter,Chi,Yes,G,29.5,29,7.8,20,8.7,10,0.8,26,0.5,68,0.353,0.521,0.539,3.7,1,1,0.3,0.1,0.3,4.6,4.7,5.7,7.9,110.2,116.4
Markieff Morris,Lal,Yes,F,35.5,3,6.7,25.8,8.7,2,1,3,0,7,0.429,0.45,0.506,3.7,0.3,1,0,0,0.3,4,4.7,5,6.2,107.4,105.1
Cam Spencer,Mem,Yes,G,24.9,11,11.4,12.7,13.7,9,1,15,0.533,16,0.313,0.5,0.572,3.6,1.5,1.5,0.3,0.1,0.5,5.2,5.1,6.6,7,124.4,109.1
Nate Williams,Hou,Yes,G,26.1,10,6.9,24.9,19.8,4,0.75,20,0.6,12,0.25,0.516,0.533,3.6,0.6,0.4,0.4,0.3,0.8,4.2,4,4.6,5.5,92,102.3
Luka Garza,Min,Yes,C,26.2,30,6.2,25.4,10.4,29,0.655,56,0.607,30,0.233,0.517,0.547,3.6,1.6,0.3,0.2,0.1,0.3,5.2,3.9,5.5,7.7,114.1,100.3
Jae'Sean Tate,Hou,Yes,F,29.4,41,11.5,13.8,12.7,41,0.659,89,0.506,34,0.294,0.488,0.521,3.6,2.2,0.9,0.6,0.1,0.4,5.8,4.5,6.7,6.7,114.3,98.5
Landry Shamet,Nyk,Yes,G,28,29,11.4,13.4,12.1,7,0.429,35,0.657,52,0.346,0.575,0.572,3.6,0.8,0.6,0.4,0.1,0.4,4.3,4.1,4.9,4.2,108,113.9
Jaden Springer,Uta,Yes,G,22.4,6,11.1,14.2,24.6,6,0.667,8,0.5,7,0.429,0.567,0.595,3.5,1.2,1.5,0.5,0.2,0.8,4.7,5,6.2,6.7,112.6,114.6
Dario Saric,Den,Yes,F,30.9,15,13.5,15.5,19.9,10,0.7,30,0.4,26,0.269,0.402,0.43,3.5,3.3,1.5,0.5,0.1,0.9,6.7,4.9,8.2,7.7,94.9,108.1
Jamal Cain,Nor,Yes,F,26,24,11.9,13.1,12.5,20,0.65,29,0.552,41,0.293,0.486,0.514,3.4,2.1,0.6,0.5,0.3,0.4,5.5,4,6.1,5.5,108.2,114.1
A.J. Lawson,Tor,Yes,G,24.6,7,8.1,13.6,5.8,3,0.333,7,0.571,9,0.556,0.719,0.693,3.4,0.9,0.1,0,0.3,0.1,4.3,3.6,4.4,3.3,126.3,114.5
Drew Eubanks,Lac,Yes,F,28.1,8,9.5,14.5,8.6,6,0.833,20,0.55,1,0,0.524,0.571,3.4,3,0.4,0.1,0.4,0.3,6.4,3.8,6.8,6.7,127.5,112.7
Bruno Fernando,Tor,Yes,F,26.6,17,8.6,19.2,22.1,8,0.75,49,0.531,0,0,0.531,0.552,3.4,3,1.1,0.2,0.5,0.8,6.4,4.5,7.5,10.4,107.2,98
Damion Lee,Pho,Yes,G,32.4,16,6.3,29,11.8,17,0.941,26,0.462,26,0.192,0.375,0.462,3.4,0.9,0.5,0.3,0,0.4,4.3,3.9,4.8,7.3,93.3,116.5
Doug McDermott,Sac,Yes,F,33.2,33,8.2,15.1,6.4,5,0.6,13,0.385,75,0.44,0.619,0.621,3.4,0.5,0.1,0.1,0,0.2,3.9,3.5,4,2.7,116,111.2
Steven Adams,Hou,Yes,C,31.6,43,12.2,14.2,23.7,67,0.448,115,0.513,1,0,0.509,0.509,3.4,4.9,1.1,0.3,0.4,0.8,8.4,4.5,9.5,8.6,111.1,105.2
Oso Ighodaro,Pho,Yes,F,22.6,44,13.9,10.6,17.5,36,0.528,106,0.585,2,0,0.574,0.577,3.3,3,1,0.4,0.3,0.5,6.3,4.2,7.3,6.2,116.3,109.7
Nae'Qwan Tomlin,Cle,Yes,F,24.2,3,4.8,30.2,10.8,3,0.667,6,0.667,2,0,0.5,0.536,3.3,2,0,0,0,0.3,5.3,3.3,5.3,0,101.5,95.9
Cam Reddish,Lal,Yes,F,25.5,31,18.1,8.6,12.2,26,0.615,41,0.585,45,0.289,0.506,0.529,3.3,2,0.7,1,0.3,0.4,5.3,4.1,6.1,3.7,109.6,108.7
DeAndre Jordan,Den,Yes,C,36.6,46,11.5,12.4,23.7,37,0.405,106,0.651,0,0,0.651,0.626,3.3,4.7,0.8,0.3,0.4,0.7,8,4.1,8.8,8.1,117.8,103.4
Nicolas Batum,Lac,Yes,G,36.2,59,17,8.6,12,16,0.813,27,0.407,142,0.38,0.544,0.56,3.3,2.7,1.2,0.6,0.4,0.4,6.1,4.5,7.3,5.2,119.5,106.1
Jackson Rowe,Gol,Yes,F,28.2,5,8.5,17.4,6.2,4,0.5,6,0.667,9,0.222,0.467,0.477,3.2,1.6,0.6,0.6,0,0.2,4.8,3.8,5.4,6.8,100.5,102.5
Elijah Harkless,Uta,Yes,G,25.1,10,13.8,12.3,7.8,6,0.5,10,0.4,25,0.28,0.414,0.425,3.2,2.1,0.8,1,0.1,0.3,5.3,4,6.1,5.1,102.4,107.7
Wendell Moore Jr.,Det,No,G,23.5,20,10.9,12.6,15.1,14,0.929,36,0.528,14,0.286,0.5,0.561,3.2,2.2,1.2,0.5,0.2,0.5,5.4,4.3,6.5,7.5,118.9,108.3
Moses Brown,Ind,No,C,25.4,9,5.1,26.8,22.8,5,0.6,20,0.65,0,0,0.65,0.653,3.2,1.4,0,0.2,0.1,0.7,4.7,3.2,4.7,0,98.6,102.5
Jalen Pickett,Den,Yes,G,25.4,29,10.5,13.1,12.7,2,1,39,0.513,43,0.395,0.555,0.561,3.2,1.1,1.7,0.2,0.1,0.4,4.3,4.9,6,6.9,119.6,115.6
Jaylon Tyson,Cle,Yes,G,22.3,39,9.3,15,15.8,18,0.778,62,0.532,39,0.359,0.535,0.56,3.1,2,0.9,0.2,0.1,0.5,5.2,4.1,6.1,7.6,118.1,103.1
Trey Jemison,Lal,Yes,C,25.3,12,11.2,11.3,12.8,8,0.375,27,0.63,0,0,0.63,0.606,3.1,3,0.3,0.1,0.5,0.3,6.1,3.4,6.4,5,122.1,94.9
Dominick Barlow,Atl,Yes,F,21.8,19,8.1,14.8,3.9,10,0.6,35,0.543,14,0.357,0.541,0.552,3.1,1.6,0.2,0.2,0.4,0.1,4.7,3.3,4.9,4.9,116.2,111.2
JT Thor,Cle,Yes,F,22.5,9,4.7,24.5,28.1,8,0.875,9,0.667,6,0.5,0.7,0.756,3.1,0.7,0.1,0.2,0.3,0.7,3.8,3.2,3.9,5.1,113.8,101.2
Gary Harris,Orl,Yes,G,30.5,31,15.5,9.9,11.4,10,0.6,22,0.5,71,0.324,0.489,0.498,3.1,1.2,0.5,0.6,0.3,0.4,4.4,3.6,4.9,3.2,101.7,110
Alex Reese,Phi,Yes,F,25.8,1,4.1,10.7,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,3,3,3,0,300,127.1
Lamar Stevens,Mem,Yes,F,27.7,2,9.4,21.1,10.6,2,1,6,0.333,2,0,0.25,0.338,3,2.5,0,0.5,0,0.5,5.5,3,5.5,0,74.9,108.3
Craig Porter,Cle,Yes,G,25,39,8.9,13.9,21.2,13,0.769,55,0.6,30,0.467,0.635,0.65,3,1.1,1.4,0.3,0.3,0.6,4.2,4.4,5.5,7.5,121.9,111.4
Adem Bona,Phi,Yes,F,21.9,42,11,11.2,29.7,53,0.642,66,0.697,0,0,0.697,0.705,3,2.8,0.3,0.2,0.7,0.7,5.8,3.3,6.1,4.9,120.3,100.7
Taze Moore,Por,Yes,G,26.7,2,10,27.1,16.4,2,0.5,6,0.167,4,0.25,0.25,0.276,3,4,0.5,1,0,1,7,3.5,7.5,7.3,72.1,114.2
Kylor Kelley,Dal,Yes,C,27.5,8,8.3,10.7,7,6,0.667,13,0.769,0,0,0.769,0.767,3,2.6,0.3,0,0.3,0.1,5.6,3.3,5.9,6.4,158,105.3
Mason Jones,Sac,Yes,G,26.6,7,5,22.3,5.8,3,0.667,10,0.8,6,0.167,0.594,0.606,3,1.1,1.4,0,0,0.1,4.1,4.4,5.6,13.3,138.3,110.3
Zeke Nnaji,Den,Yes,F,24.2,40,9.3,12.1,6.2,21,0.571,59,0.661,32,0.313,0.593,0.599,3,1.5,0.3,0.3,0.5,0.2,4.5,3.3,4.8,4.8,124,107.1
Maxi Kleber,Dal,Yes,F,33.1,34,18.7,8.6,19.3,21,0.762,47,0.511,49,0.265,0.453,0.489,3,2.8,1.3,0.3,0.5,0.7,5.8,4.3,7.1,4.7,104.3,109.2
Taj Gibson,Cha,Yes,F,39.7,25,11.6,13.3,22.5,16,0.688,63,0.476,2,0.5,0.485,0.514,3,3.8,0.6,0.3,0.5,0.8,6.7,3.5,7.3,6.5,103.1,102.6
AJ Johnson,Mil,No,G,20.3,7,6.3,23.7,17.2,2,0.5,14,0.357,5,0.6,0.5,0.503,2.9,1,1,0.1,0,0.6,3.9,3.9,4.9,9.1,94.9,116.1
Tyler Smith,Mil,Yes,F,20.3,15,5,24.2,14.9,4,0.5,14,0.643,20,0.4,0.618,0.615,2.9,1.3,0.3,0.1,0.2,0.4,4.2,3.2,4.5,8.3,106.6,102.8
Duop Reath,Por,Yes,C,28.7,30,6.3,18.2,9,12,0.833,23,0.652,47,0.34,0.557,0.584,2.9,1.2,0.3,0.1,0.2,0.2,4.1,3.3,4.5,6.4,119.3,110.7
Caleb Houstan,Orl,Yes,G,22.2,39,11.6,11.3,4.4,11,0.909,15,0.4,93,0.323,0.472,0.496,2.9,1,0.4,0.2,0.1,0.1,3.8,3.3,4.3,3.6,109.4,108.4
Jae Crowder,Sac,Yes,F,34.7,7,13.1,11,18.7,6,0.833,5,0.6,12,0.25,0.441,0.509,2.9,2.4,0.6,0.4,0,0.6,5.3,3.4,5.9,4.9,105.9,107
Branden Carlson,Okc,Yes,C,25.7,19,5.6,17,7.1,2,1,8,0.625,31,0.452,0.667,0.677,2.8,1.4,0.3,0.1,0.3,0.2,4.2,3.2,4.5,7.5,131.7,99.2
Jake LaRavia,Sac,Yes,F,23.3,9,15.3,13.2,22.4,6,0.333,12,0.333,19,0.263,0.371,0.372,2.8,2.4,1.2,0.6,0.2,1,5.2,4,6.4,5.2,86.8,108.1
Blake Wesley,San,Yes,G,22,37,8.3,17.8,23.9,27,0.667,65,0.554,24,0.208,0.489,0.52,2.8,0.6,1.8,0.4,0.1,0.8,3.5,4.6,5.3,7,103.6,115
TyTy Washington Jr.,Pho,Yes,G,23.3,10,9.3,19.4,7.6,4,0.75,18,0.444,18,0.167,0.347,0.371,2.8,1.2,1.2,0.3,0,0.3,4,4,5.2,6.8,91.6,120
Pat Spencer,Gol,Yes,G,28.7,28,7,21.9,13.5,15,0.733,66,0.455,17,0.118,0.398,0.43,2.8,1.4,1.3,0.4,0.1,0.5,4.2,4.1,5.5,9.8,100.5,106.3
Drew Peterson,Bos,Yes,F,25.3,16,8.3,11.5,18.5,7,0.857,6,0.667,20,0.45,0.673,0.705,2.6,1.7,0.7,0.2,0.1,0.4,4.3,3.3,4.9,7,130.6,104.3
AJ Johnson,Was,Yes,G,20.3,4,7.6,14.4,9.6,1,1,4,0.75,5,0.2,0.5,0.53,2.5,0.5,1.3,0.3,0,0.3,3,3.8,4.3,6.2,115.1,107.4
John Konchar,Mem,Yes,G,29,32,12.8,8.5,15.2,6,0.833,22,0.636,50,0.32,0.528,0.543,2.5,3.4,1,0.5,0.4,0.4,5.9,3.5,6.9,6.4,118.9,108.6
Delon Wright,Mil,No,G,32.9,26,15.6,11.1,14.5,16,0.563,33,0.303,49,0.245,0.341,0.365,2.5,1.8,1.8,0.9,0.3,0.5,4.3,4.3,6.1,5.1,94.4,111.9
Trey Jemison,Nor,No,C,25.3,16,10.4,13,23.7,21,0.381,32,0.469,0,0,0.469,0.461,2.4,2.8,0.6,0.4,0.4,0.6,5.1,3,5.8,6.1,99.6,105.1
Johnny Davis,Was,Yes,G,23,34,7.1,15.9,8.2,15,0.6,49,0.51,29,0.241,0.455,0.473,2.4,1.1,0.3,0.4,0.2,0.2,3.5,2.7,3.8,5.2,98.6,114.2
Kessler Edwards,Dal,Yes,F,24.6,31,11.6,10.1,10.8,3,1,44,0.545,30,0.267,0.486,0.498,2.4,2.4,0.9,0.4,0.4,0.3,4.8,3.4,5.7,6,112.3,106.9
Kobe Brown,Lac,Yes,F,25.2,26,7.4,14.4,11.2,5,0.8,36,0.611,19,0.211,0.509,0.524,2.3,1.9,0.6,0.2,0.1,0.3,4.2,2.9,4.8,7.5,113.6,105.6
Lester Quinones,Phi,Yes,G,24.3,4,4.3,32.2,32.2,1,1,5,0.8,3,0,0.5,0.533,2.3,1,0.3,0,0,1,3.3,2.5,3.5,8.2,84.1,125.2
Josh Minott,Min,Yes,F,22.3,36,6.4,16.2,10,13,0.846,40,0.625,32,0.219,0.493,0.528,2.3,1,0.4,0.3,0.3,0.2,3.3,2.7,3.7,6.1,109.2,101.1
Vlatko Cancar,Den,Yes,F,27.9,4,8.6,11,22.2,0,0,5,0.6,2,0.5,0.643,0.643,2.3,2,0,0,0.3,0.5,4.3,2.3,4.3,0,107,107.9
Rayan Rupert,Por,Yes,G,20.8,40,7.6,14.9,18.9,20,0.75,44,0.5,37,0.27,0.457,0.496,2.2,1.2,0.5,0.2,0.1,0.5,3.4,2.7,3.8,5.8,99.3,113.5
Christian Koloko,Lal,Yes,C,24.7,29,8.5,9.5,13.9,8,0.875,41,0.683,2,0,0.651,0.677,2.2,2.2,0.4,0.2,0.3,0.2,4.4,2.6,4.8,5.9,140.2,102.9
Kai Jones,Lac,No,C,24.1,28,7.4,10.6,21.6,12,0.75,34,0.765,2,0,0.722,0.739,2.2,1.6,0.4,0.2,0.4,0.4,3.8,2.5,4.2,6.1,129.5,102.7
Torrey Craig,Bos,Yes,F,34.2,5,8.3,13.5,8.2,2,0.5,3,0.667,8,0.25,0.455,0.463,2.2,1.6,0.4,0,0.8,0.2,3.8,2.6,4.2,5.4,110.3,109.7
Cory Joseph,Orl,Yes,G,33.5,34,7.9,13.7,14.6,6,0.667,20,0.4,50,0.36,0.5,0.509,2.2,0.8,0.9,0.4,0.1,0.4,2.9,3,3.8,5.9,104.6,106.8
Hunter Tyson,Den,Yes,F,24.7,41,7.6,13.2,14.9,23,0.696,25,0.48,49,0.306,0.466,0.505,2.1,1.5,0.3,0.1,0.1,0.3,3.5,2.4,3.9,5.2,103,106.5
Dillon Jones,Okc,Yes,F,23.3,37,8.8,14.3,13.8,20,0.55,39,0.487,48,0.208,0.391,0.412,2.1,2,1,0.2,0.1,0.4,4.1,3.1,5.1,7.3,100.4,100.9
Pete Nance,Phi,Yes,F,25,7,9.8,10.2,0,2,0.5,3,0.333,12,0.333,0.467,0.472,2.1,1.4,0.4,0.1,0,0,3.6,2.6,4,4.3,112.2,106
Patrick Baldwin Jr.,Was,Yes,F,22.3,22,4.6,16.6,13.1,4,0.5,12,0.5,21,0.524,0.682,0.676,2.1,1,0.1,0.1,0.1,0.2,3.1,2.2,3.2,5.2,115.6,117.1
Orlando Robinson,Sac,No,C,24.7,9,6.3,18,18.8,7,0.571,12,0.5,5,0.2,0.441,0.473,2.1,1.6,1,0.3,0.1,0.4,3.7,3.1,4.7,9.5,102.2,104.1
E.J. Liddell,Chi,Yes,F,24.2,7,4.7,16.4,16.1,2,1,2,1,8,0.375,0.65,0.689,2.1,0.7,0.4,0.1,0,0.3,2.9,2.6,3.3,7.1,122.5,95.7
Chris Duarte,Chi,Yes,G,27.7,17,4.4,17.1,3.7,8,0.75,11,0.545,15,0.4,0.577,0.61,2.1,1.2,0.5,0,0,0.1,3.3,2.6,3.8,9.8,135.1,111.5
Alex Reese,Okc,No,F,25.8,1,1.9,22.3,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,3,2,3,0,0,0
Adama Sanogo,Chi,Yes,F,23.1,4,5.4,15.6,12.5,0,0,7,0.571,0,0,0.571,0.571,2,1.5,0.3,0,0,0.3,3.5,2.3,3.8,7.2,125.9,121.1
Reece Beekman,Bro,Yes,G,23.4,25,11.5,13.2,19.5,11,0.545,39,0.41,27,0.148,0.333,0.353,2,0.8,1.3,0.7,0.1,0.6,2.8,3.3,4.1,4.4,80.4,113.6
Jalen Hood-Schifino,Lal,Yes,G,21.7,2,7.1,9,41,2,1,1,1,0,0,1,1.064,2,0.5,0.5,0,0.5,0.5,2.5,2.5,3,4.5,151.4,99.4
Keion Brooks Jr.,Nor,Yes,F,24.6,2,4.9,16.1,0,4,0.5,1,1,1,0,0.5,0.532,2,1.5,0.5,0,0,0,3.5,2.5,4,9.3,129.9,111.9
Jared Rhoden,Tor,Yes,G,25.5,2,10.9,11.7,0,0,0,3,0.667,3,0,0.333,0.333,2,1,0,0,0.5,0,3,2,3,0,72.1,113.8
MarJon Beauchamp,Mil,No,F,24.4,26,4.7,23.3,21.5,12,0.75,26,0.423,21,0.333,0.457,0.497,2,1.2,0.3,0.1,0,0.5,3.2,2.3,3.5,7.6,90.2,105.6
Jack McVeigh,Hou,Yes,G,28.7,7,4.1,20.2,7.1,0,0,3,0.333,10,0.4,0.538,0.538,2,0.6,0.1,0,0.1,0.1,2.6,2.1,2.7,4.8,110.7,113.6
Patty Mills,Lac,Yes,G,36.6,5,5.3,17.9,9.8,2,0.5,0,0,9,0.333,0.5,0.506,2,0,0.6,0.2,0,0.2,2,2.6,2.6,0,106,93.4
Pacome Dadiet,Nyk,Yes,F,19.6,14,6.8,13.8,6.8,3,0.667,10,0.3,17,0.353,0.444,0.459,1.9,1,0.4,0.2,0.1,0.1,2.9,2.2,3.2,5.4,97.2,112.5
Ariel Hukporti,Nyk,Yes,C,22.9,25,8.7,11.5,40.2,13,0.462,31,0.677,0,0,0.677,0.654,1.9,2,0.4,0,0.6,0.8,4,2.4,4.4,5.3,95,102.7
Jordan McLaughlin,Sac,No,G,28.9,28,6.8,13.9,19.9,16,0.688,18,0.333,26,0.385,0.477,0.519,1.9,0.8,0.9,0.4,0,0.4,2.6,2.8,3.5,6.5,105.6,110.9
Cam Christie,Lac,Yes,G,19.6,6,5.2,20.6,14.1,2,0.5,4,0.5,8,0.25,0.417,0.427,1.8,1,0.3,0.3,0,0.3,2.8,2.2,3.2,6.3,85.7,105.6
Tyler Kolek,Nyk,Yes,G,23.9,29,5.1,17.2,15.9,6,1,19,0.368,28,0.393,0.5,0.534,1.8,0.5,0.8,0.2,0,0.3,2.3,2.6,3.1,7,109,110.2
