NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Collin Sexton,Uta,Yes,G,26.2,48,28.1,26.3,15.4,187,0.898,429,0.51,218,0.408,0.545,0.599,18.2,2.8,4,0.7,0.1,2.5,21,22.2,25,8.4,116,117.1
Kawhi Leonard,Lac,Yes,F,33.7,20,28.5,28.2,12.3,50,0.78,209,0.507,98,0.378,0.526,0.55,18.1,5,2.7,1.2,0.5,2.2,23.1,20.8,25.8,8.8,105.1,109.2
Andrew Wiggins,Mia,Yes,F,30,6,35.3,25,15.6,39,0.821,48,0.438,38,0.289,0.436,0.519,17.8,4.8,3.3,1.2,1,2.7,22.7,21.2,26,7.4,103.3,112.8
Quentin Grimes,Phi,Yes,G,24.8,11,32.7,21.2,11.2,29,0.655,75,0.653,68,0.382,0.615,0.626,17.7,5.3,3.3,1.2,0.5,1.6,23,21,26.3,8.3,120.6,114.2
Jaden Ivey,Det,Yes,G,23.1,30,29.9,26,17.7,116,0.733,259,0.49,154,0.409,0.536,0.569,17.6,4.1,4,0.9,0.4,3,21.7,21.6,25.7,8.8,107.3,110.2
Malik Monk,Sac,Yes,G,27.1,52,32.5,24,13.6,142,0.88,416,0.541,352,0.324,0.516,0.552,17.6,3.8,5.9,1,0.6,2.3,21.5,23.5,27.4,9,111.7,110.9
Andrew Wiggins,Gol,No,F,30,43,30.1,23.3,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.5,111.8
Bradley Beal,Pho,Yes,G,31.7,43,32.6,22.6,13.2,114,0.816,368,0.557,210,0.405,0.575,0.603,17.6,3.6,3.6,1.1,0.6,2,21.2,21.2,24.8,7.5,113.4,114.5
Shaedon Sharpe,Por,Yes,G,21.8,54,30.1,24.8,11.4,167,0.796,454,0.542,334,0.32,0.516,0.549,17.5,3.9,2.6,0.8,0.3,1.9,21.5,20.1,24.1,7.5,109.1,115.3
Dejounte Murray,Nor,Yes,G,28.5,31,32.7,27.2,17.5,124,0.823,320,0.444,174,0.299,0.445,0.494,17.5,6.5,7.4,2,0.4,3.4,23.9,24.8,31.3,11.5,101.1,113.9
Mikal Bridges,Nyk,Yes,G,28.5,61,37.7,19.2,9,66,0.727,517,0.59,382,0.351,0.563,0.571,17.4,3.1,3.4,0.9,0.6,1.5,20.5,20.8,23.9,6,114.7,117.2
Bam Adebayo,Mia,Yes,C,27.6,58,34.2,23,13.5,236,0.737,651,0.528,149,0.302,0.514,0.552,17.2,9.9,4.3,1.2,0.7,2.2,27.1,21.5,31.5,10.5,113.3,106.8
Jimmy Butler,Mia,No,F,35.5,25,30.6,21.1,10.2,161,0.801,227,0.568,36,0.361,0.565,0.638,17,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.7,114.3
Jonathan Kuminga,Gol,Yes,F,22.4,32,26,27.6,10.6,169,0.639,307,0.502,116,0.345,0.506,0.539,16.8,5,2.2,0.9,0.6,1.6,21.7,18.9,23.9,8.8,107.8,108.3
Caris LeVert,Atl,Yes,G,30.5,10,28.3,20.9,6,27,0.778,70,0.643,55,0.345,0.588,0.614,16.8,4.1,2.6,1.1,0.4,0.8,20.9,19.4,23.5,8,123.9,111.5
Keyonte George,Uta,Yes,G,21.3,51,31.4,24.2,17,202,0.802,305,0.459,390,0.349,0.495,0.542,16.7,3.7,5.9,0.7,0.2,2.8,20.4,22.6,26.3,9.1,109.4,118.7
Malik Beasley,Det,Yes,G,28.3,62,27.4,22.8,7.2,101,0.663,227,0.493,586,0.422,0.593,0.602,16.6,2.8,1.7,1,0,1,19.5,18.4,21.2,6.3,117.6,112.6
Jordan Clarkson,Uta,Yes,G,32.7,32,26.6,27.5,13,118,0.805,234,0.444,207,0.367,0.494,0.539,16.6,3.2,3.9,0.8,0.3,2.1,19.8,20.5,23.7,8.9,109.4,117.8
Immanuel Quickley,Tor,Yes,G,25.7,23,28.4,24.4,12.4,91,0.857,151,0.464,144,0.375,0.512,0.567,16.5,3.2,5.5,0.5,0.1,1.8,19.7,22,25.2,9.3,116.5,114.9
O.G. Anunoby,Nyk,Yes,F,27.6,55,36.5,18.2,9.3,137,0.796,384,0.57,325,0.366,0.561,0.588,16.4,4.7,2.1,1.4,0.9,1.3,21.1,18.5,23.2,6,117.1,112.8
Derrick White,Bos,Yes,G,30.7,58,33.7,19.3,11.4,120,0.842,208,0.582,513,0.392,0.586,0.611,16.3,4.3,4.3,0.9,1,1.6,20.6,20.6,24.9,8,122.9,110
Jimmy Butler,Gol,Yes,F,35.5,10,30.6,21.1,9.9,75,0.867,89,0.517,20,0.1,0.45,0.574,16.3,5.3,5.3,1.1,0.3,1.2,21.6,21.6,26.9,10.1,130.7,113.3
Bennedict Mathurin,Ind,Yes,G,22.7,55,30.8,22,13.5,225,0.827,436,0.541,223,0.345,0.533,0.586,16.2,5.5,1.9,0.6,0.4,1.9,21.6,18,23.5,7.2,110.6,112
Jalen Suggs,Orl,Yes,G,23.8,35,28.6,27.4,17.5,110,0.882,239,0.506,242,0.314,0.489,0.536,16.2,4,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,100.7,102.9
Paul George,Phi,Yes,F,34.8,41,32.5,23.7,15.7,97,0.814,302,0.493,268,0.358,0.514,0.543,16.2,5.3,4.3,1.8,0.5,2.6,21.6,20.6,25.9,8.8,104.1,110.6
Devin Vassell,San,Yes,G,24.5,45,30.4,22.7,9.3,88,0.773,338,0.512,287,0.348,0.517,0.538,15.9,3.7,2.9,1.2,0.5,1.4,19.6,18.7,22.4,7.3,106.4,114.7
Ivica Zubac,Lac,Yes,C,28,59,32.2,18.9,13,168,0.643,660,0.623,0,0,0.623,0.634,15.8,12.5,2.5,0.8,1.2,1.7,28.3,18.3,30.8,9.8,125.6,104.5
Mark Williams,Cha,Yes,C,23.2,29,25.8,22.3,10.3,122,0.787,305,0.584,1,0,0.582,0.628,15.6,9.9,2.3,0.7,1.2,1.2,25.5,17.9,27.8,11,128.3,104.3
Myles Turner,Ind,Yes,C,28.9,53,30.8,20.7,13.6,162,0.765,319,0.536,292,0.408,0.572,0.603,15.5,6.5,1.6,0.8,1.9,1.8,22,17.2,23.6,7.1,110.6,108.9
Jared McCain,Phi,Yes,G,21,23,25.7,24.9,11.9,56,0.875,141,0.532,133,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0,1.6,17.7,17.9,20.3,7.1,113.1,116.3
